title,year,synopsis
The Princess Switch 3: Romancing the Star,2021,"When a priceless Christmas relic is stolen, royal look-alikes Margaret and Stacy turn to audacious doppelgänger Fiona — and her dashing ex — for help."
Tear Along the Dotted Line,2021,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.
Christmas Flow,2021,An unlikely Christmas romance blossoms between a famous rapper and a tenacious journalist. But can they make it work despite their differences?
Johnny Test&#39;s Ultimate Meatloaf Quest,2021,"Join Johnny and Dukey on an epic interactive quest to find the perfect meatloaf — and save themselves from eating Dad&#39;s gross ""garbage loaf"" for dinner."
Si yo fuera rico,2019,"Santi’s down on his luck: broke, and breaking up with the woman he loves. Then he buys a lottery ticket. But now he has to keep his winnings a secret."
Red Notice,2021,An FBI profiler pursuing the world&#39;s most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who&#39;s always one step ahead.
The Furies,2016,"A family reunites to discuss the selling of their beloved house, but their secrets threaten to overwhelm them as they come to light."
Peter Rabbit 2,2021,"Peter and his rabbit family leave Thomas and Bea&#39;s garden for the city. When they get into trouble, Peter needs help from old friends to save the day."
Love Never Lies,2021,"Six couples are subjected to an eye-scanning lie detector in this reality show where lies cost money, and truth and trust come with a juicy cash prize."
Passing,2021,"In 1920s New York City, a Black woman finds her world upended when her life becomes intertwined with a former childhood friend who&#39;s passing as white."
Happiness Ever After,2021,"This sequel to ""Happiness is a Four-Letter Word"" finds Zaza, Princess and Zim living new chapters of their lives amid loss, family grudges and new love."
Animal,2022,"This immersive series follows the world&#39;s most magnificent creatures, capturing never-before-seen moments from the heartwarming to the outrageous."
Swap Shop,2021,"When the ""Swap Shop"" radio show shares the scoop on sweet deals, collectors of cars, comics, creepy clown statues and more listen with ears wide open."
Father Christmas Is Back,2021,Four feuding sisters get a crash course in family togetherness when their long-lost father shows up for Christmas at their posh ancestral manor.
Arcane,2021,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions."
Yara,2021,A determined prosecutor becomes consumed with the case of a missing 13-year-old and goes to extreme lengths to get to the truth. Based on a real case.
The Unlikely Murderer,2021,This series dramatizes how a man claiming to be a witness at the assassination of Swedish prime minister Olof Palme may have gotten away with murder.
Where is Marta?,2021,"Teenager Marta del Castillo&#39;s disappearance made headlines in Spain. Family, friends, police and more weigh in on a case that is still unresolved."
Love Hard,2021,"After meeting her perfect match on a dating app, an LA writer learns she&#39;s been catfished when she flies 3,000 miles to surprise him for Christmas."
The Club,2021,"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn’t raise."
Catching Killers,2021,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series."
Amina,2021,"In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family&#39;s kingdom. Based on a true story."
Lords of Scam,2021,This documentary traces the rise and crash of scammers who conned the EU carbon quota system and pocketed millions before turning on one another.
The Harder They Fall,2021,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison."
Thomas & Friends: All Engines Go,2021,"All aboard, everyone! It&#39;s all engines go as Thomas and his friends work hard and find time to have fun on the island of Sodor."
The Time It Takes,2021,"Lina and Nico break up after many years together, and Lina struggles to find a new life and to think about him a little less each day."
Colin in Black & White,2021,"Colin Kaepernick narrates this drama series recounting his formative years navigating race, class and culture while aspiring for greatness."
Army of Thieves,2021,"In this prequel to ""Army of the Dead,"" a mysterious woman recruits bank teller Dieter to help her crew crack three legendary safes across Europe."
The Sparks Brothers,2021,"With interviews from rock&#39;s top talents, this exciting documentary pays tribute to the unconventional 50-year journey of American pop-rock duo Sparks."
The Motive,2021,"In Jerusalem 1986, a 14-year-old boy shoots his family point-blank in their beds. Yet questions persist. In this docuseries, insiders come forward."
Hypnotic,2021,"Feeling stuck both personally and professionally, Jenn turns to a mysterious hypnotherapist for help, only to find herself caught in a deadly mind game."
Lokillo,2020,A controversial TV host and comedian who has built his career on sexist humor is forced to assume a woman&#39;s identity to elude a relentless drug dealer.
The Raincoat Killer: Chasing a Predator in Korea,2021,"In the early 2000s, Yoo Young-chul hammered his victims to death and cast fear across Seoul. This docuseries recounts the hunt for a prolific killer."
Maya and the Three,2021,A spirited princess with the heart of a warrior embarks on a mission to fulfill an ancient prophecy and save humanity from the wrath of vengeful gods.
Little Big Mouth,2021,"Kicked out of his band and home, a playful guitarist takes refuge with a bookkeeper, her son and dad. Is it possible to make sweet music together?"
Inside Job,2021,Lizard people? Real. The moon landing? Fake. Managing the world&#39;s conspiracies is a full-time job for an awkward genius and her dysfunctional co-workers.
Adventure Beast,2021,"A brave zoologist, his spunky niece and anxious assistant explore the world while saving wild beasts in this adult animated educational-comedy series."
Spontaneous,2020,Two high school seniors decide to live life to its fullest and find love on the way when their peers begin to inexplicably combust... literally.
"Sex, Love & goop",2021,Courageous couples journey toward more pleasurable sex and deeper intimacy with help from Gwyneth Paltrow and a team of experts in this reality series.
Insiders,2021,"Twelve people think they&#39;re in the final casting round for a reality show. In fact, they&#39;re already being secretly filmed, with 100,000 euros at stake."
Stuck Together,2021,"When Paris goes into lockdown during the pandemic, the quirky residents of an apartment building must adjust to a new life — and one another."
Night Teeth,2021,"A young driver picks up two mysterious women for a night of party hopping. But when his passengers reveal their true nature, he must fight to stay alive."
Found,2021,"After DNA tests reveal them to be cousins, three girls adopted by different American families travel to China in hopes of meeting their birth parents."
Misfit: The Series,2021,"The Misfits are in for a wild year as they prepare a school musical. But when the strict new headmaster bans the show, it&#39;s up to Julia to save the day."
The Trip,2021,"Eager to end their marriage by murdering each other, a husband and wife head to a remote cabin — but soon find themselves facing an even bigger threat."
The Four of Us,2021,"After their partner swap experiment takes a turn, four friends arrive at a remote beach hut to face the fallout and purge themselves of deeper truths."
Sharkdog&#39;s Fintastic Halloween,2021,"The Sharkpack gets ready for Halloween with the spooky legend of the ""Fearsome Fog"" — and Sharkdog must save trick-or-treating from a slimy sea monster!"
My Name,2021,"Following her father&#39;s murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction."
Karma&#39;s World,2021,"Lyrically gifted middle schooler Karma juggles rap dreams and rhyme schemes while using her talent, ambition and heart to solve any problem."
Son of the South,2020,"In 1960s Alabama, the grandson of a Klansman confronts rampant racism in the Deep South and becomes a civil rights activist. Based on a true story."
Historia de lo oculto,2020,"Decades ago in Argentina, a popular TV news show broadcasts one last time, with a guest who will tie the government to supernatural forces."
A World Without,2021,"Three teenage girls in search of happiness decide to join a reclusive community that forbids dating, headed by a charismatic leader."
Fever Dream,2021,"The charged relationship between two young moms, one a visitor and the other a local, reveals a looming environmental catastrophe and a spiritual crash."
Making Malinche: A Documentary by Nacho Cano,2021,Join the creative process behind Nacho Cano’s new musical based on the love story of Malinche and Hernán Cortés and the merging of their two worlds.
Convergence: Courage in a Crisis,2021,"While COVID-19 exacerbates vulnerabilities across the world, unsung heroes in all levels of society help the tide turn toward a brighter future."
Bright: Samurai Soul,2021,"In the early years of Japan&#39;s Meiji Restoration, a human ronin must unite with an orc assassin to save an elf orphan from their common adversary."
The King&#39;s Affection,2021,"When the crown prince is killed, his twin sister assumes the throne while trying to keep her identity and affection for her first love a royal secret."
Pretty Smart,2021,Book-smart Chelsea discovers she has a lot to learn about happiness when she&#39;s forced to move in with her bubbly sister and three roommates.
"My Brother, My Sister",2021,"When their father&#39;s will forces them to live together, siblings Nik and Tesla — and Tesla&#39;s kids — try to overcome their differences to become a family."
House of Secrets: The Burari Deaths,2021,"Suicide, murder... or something else? This docuseries examines chilling truths and theories around the deaths of 11 members of a Delhi family."
Grudge,2021,"Ahead of a promotion, a police chief becomes embroiled in a fatal incident and uncovers a grudge-fueled plot that threatens his associates."
A Tale Dark & Grimm,2021,Follow Hansel and Gretel as they walk out of their own story into a winding and wickedly witty tale full of strange — and scary — surprises.
The Billion Dollar Code,2021,"In 1990s Berlin, an artist and a hacker invented a new way to see the world. Years later, they reunite to sue Google for patent infringement on it."
There&#39;s Someone Inside Your House,2021,Makani and her friends at Osborne High School try to identify and stop a masked killer who&#39;s targeting students and exposing their biggest secrets.
Love Is Blind: Brazil,2021,"The dating experiment comes to Brazil as local singles look for true love and get engaged, all without meeting the other person face to face."
Baking Impossible,2021,"Top bakers and engineers team up to build edible creations that must taste delicious and survive intense engineering stress tests to win $100,000."
Bad Sport,2021,True crime and sports intersect in a docuseries that examines global controversies and scandals with firsthand accounts from those involved.
Escape The Undertaker,2021,Can The New Day survive the surprises at The Undertaker’s spooky mansion? It’s up to you to decide their fate in this interactive WWE-themed special.
Blue&#39;s Clues & You!,2019,"Follow the paw prints of preschool pup Blue to solve playful puzzles, meet new friends and figure out her special messages with new pal Josh."
Un Paso Adelante,2007,"At a prestigious performing arts school in Madrid, young aspiring dancers, singers and actors realize the path to success and fame isn&#39;t an easy one."
The Dead Mother,1993,"Years after committing a horrific murder, a thief decides to kidnap his victim&#39;s daughter, who witnessed the crime, to see if she recognizes him."
Butterfly Wings,1991,"The arrival of a long-awaited son into a dysfunctional family takes the relationship of the daughter and mother into a dark place, leading to tragedy."
Animal,2018,Antonio has a perfectly content and ordinary life — until he finds out he desperately needs a kidney transplant. How far will he go to extend his life?
The Guilty,2021,A troubled police detective demoted to 911 operator duty scrambles to save a distressed caller during a harrowing day of revelations — and reckonings.
Swallow,2021,"Waylaid by life&#39;s pressures in 1980s Lagos, Nigeria, Tolani becomes involved in drug smuggling with her streetwise friend and must face the fallout."
Scaredy Cats,2021,"On her 12th birthday, Willa Ward receives a purr-fect gift that unlocks a world of witchcraft, talking animals and so much more with her best friends."
Maid,2021,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future."
Forever Rich,2021,A rising pop artist spirals out when a humiliating video goes viral and pushes him into a battle for redemption — over the course of one long night.
STAND BY ME Doraemon 2,2020,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?"
Seinfeld,1997,"The ""show about nothing"" is a sitcom landmark, with comic Jerry and his three sardonic friends finding laughs in both the mundane and the ridiculous."
Luna Park,2021,"In 1960s Rome, a free-spirited young woman who&#39;s grown up at her family&#39;s circus unexpectedly discovers she belongs to two very different worlds."
Sounds Like Love,2021,"Just as Maca&#39;s career reaches an inflection point, the enigmatic ex who broke her heart reappears in Madrid and she turns to her friends for support."
No One Gets Out Alive,2021,"Desperate and without documentation, a woman from Mexico moves into a rundown Cleveland boardinghouse. Then the unsettling cries and eerie visions begin."
Friendzone,2021,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend?
The Chestnut Man,2021,"At a grisly murder scene sits a figurine made of chestnuts. From this creepy clue, two detectives hunt a killer linked to a politician&#39;s missing child."
The Comey Rule,2020,"Adapted from the memoir ""A Higher Loyalty,"" this drama details the fraught relationship between Donald Trump and former FBI Director James Comey."
Blue Period,2021,"Bored with life, popular high schooler Yatora Yaguchi jumps into the beautiful yet unrelenting world of art after finding inspiration in a painting."
Jailbirds New Orleans,2021,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
Ganglands,2021,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
My Little Pony: A New Generation,2021,"Equestria&#39;s divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
The Starling,2021,A woman adjusting to life after a loss contends with a feisty bird that&#39;s taken over her garden — and a husband who&#39;s struggling to find a way forward.
Midnight Mass,2021,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
Formentera Lady,2018,The carefree life of a musician living on a Spanish island is sent into a tailspin when his estranged daughter asks him to take care of his grandson.
Je Suis Karl,2021,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
Bangkok Breaking,2021,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
Monsters Inside: The 24 Faces of Billy Milligan,2021,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
Jaguar,2021,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
Intrusion,2021,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
Crime Stories: India Detectives,2021,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
Confessions of an Invisible Girl,2021,"When the clever but socially-awkward Tetê joins a new school, she&#39;ll do anything to fit in. But the queen bee among her classmates has other ideas."
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
Europe&#39;s Most Dangerous Man: Otto Skorzeny in Spain,2020,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
Squid Game,2021,"Hundreds of cash-strapped players accept a strange invitation to compete in children&#39;s games. Inside, a tempting prize awaits — with deadly high stakes."
Chicago Party Aunt,2021,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
Ankahi Kahaniya,2021,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
My Heroes Were Cowboys,2021,"Robin Wiltshire&#39;s painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
He-Man and the Masters of the Universe,2021,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
Too Hot To Handle: Latino,2021,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
Schumacher,2021,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Nightbooks,2021,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch&#39;s magical apartment forever.
Ilhados,2021,Tensions run high while food runs low as six influencers find themselves stranded on a secluded island after plans for a weekend escape go awry.
You vs. Wild: Out Cold,2021,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
Prey,2021,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Metal Shop Masters,2021,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
Kate,2021,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
TRY,2018,"Reunited in New York after years apart, two best friends must face what they’ve left behind in Spain and how time has shifted their friendship."
On the Verge,2021,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
Buddy Games,2019,All bets are off for a group of lifelong friends who compete for cash in a wild series of absurd challenges — and learn the true meaning of friendship.
Spell,2020,"After a plane crash, a lawyer awakens, injured and alone, in a hoodoo practitioner&#39;s attic. Now he must break free of her magic before the blood moon."
Worth,2021,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
Sharkdog,2021,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
Dive Club,2021,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
"Where&#39;d You Go, Bernadette?",2019,"Disconnected from her creative passion, a lauded ex-architect devotes herself to motherhood — until she disappears one day. Will she rediscover herself?"
Q-Force,2021,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
Afterlife of the Party,2021,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Halloween II,1981,Laurie Strode and Dr. Loomis try and stop the murderous psycho Michael Myers from killing again in this horrifying sequel to the 1978 classic.
Invasion,2020,"Years after the alien spacecraft&#39;s crash landing, Julia becomes the subject of research as Earth reckons with the threat of extraterrestrial invasion."
How to Be a Cowboy,2021,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he&#39;s teaching the world how to cowboy right, ol&#39; son."
Love You To Death,2019,The picture-perfect relationship between a mother and her teenage daughter takes a deadly turn in this drama based on a true story.
First Shot,2002,"With a gang of terrorists trying to kidnap the president, a Secret Service agent is the only one who can derail the plan in this made-for-TV thriller."
Sparking Joy,2021,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
Uncle Drew,2018,"In need of cash, hard-luck sneaker salesman Dax enlists a local legend and his old basketball squad for help to win a streetball tournament."
Final Set,2021,A tennis pro who&#39;s slipped down the rankings returns to the French Open in a bid to prove to everyone — including himself — that he&#39;s not done yet.
I Heart Arlo,2021,It&#39;s a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
D.P.,2021,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
He&#39;s All That,2021,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She&#39;s All That."""
Deadly Sins,2002,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who&#39;s worthy of inheriting his fortune.
Post Mortem: No One Dies in Skarnes,2021,"She&#39;s back from the dead and has a newfound thirst for blood. Meanwhile, her family&#39;s funeral parlor desperately needs more business. Hmm, what if..."
Open Your Eyes,2021,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment."
Clickbait,2021,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
Blood and Money,2020,A veteran becomes tangled in a web of murder and deceit when he makes an unnerving discovery during a hunting trip in the wintry woods of Maine.
The Old Ways,2020,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she&#39;s demonically possessed."
Really Love,2020,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
The Witcher: Nightmare of the Wolf,2021,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
Mr. Robot,2019,"A cybersecurity engineer by day and a cyber vigilante by night, a man is recruited by a mysterious group of hackers to take down a global corporation."
The Chair,2021,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
Sweet Girl,2021,"He lost the love of his life to a pharmaceutical company&#39;s greed. Now his daughter is without a mother, and he&#39;s without justice. For now."
Everything Will Be Fine,2021,A separated couple live together for their child&#39;s sake in this satirical dramedy about what it means to be a good parent and spouse in today&#39;s world.
"Ada Twist, Scientist",2021,Pint-sized scientist Ada Twist and her two best friends are asking big questions — and working together to discover the truth about everything!
Modern Loves,2019,"A fateful day reunites an estranged family in Mexico City, where a chain of events shifts their romantic relationships and uncovers a monumental secret."
Out of my league,2020,"Tired of swiping through the dating scene with her besties in tow, a charming yet awkward woman with a rare genetic disorder sets her sights on love."
The Secret Diary of an Exchange Student,2021,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
The Defeated,2020,"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city."
Black Island,2021,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
Gone for Good,2021,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
Brand New Cherry Flavor,2021,"A filmmaker heads to Hollywood in the early &#39;90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens."
Beckett,2021,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
The Kingdom,2021,"After his running mate&#39;s murder, a controversial televangelist becomes Argentina&#39;s presidential candidate. But nothing about him is as holy as he seems."
Monster Hunter: Legends of the Guild,2021,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
AlRawabi School for Girls,2021,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
Misha and the Wolves,2021,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
The Kissing Booth 3,2021,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
Vivo,2021,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
The Swarm,2021,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
Hit & Run,2021,A man searching for the truth behind his wife&#39;s death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
For Life,2020,"Facing a life sentence in prison for a crime he didn’t commit, a man becomes a lawyer to seek justice and defend others who have been wrongfully accused."
The Owners,2020,"When an older couple returns to their home during a vicious burglary, the thieves must save themselves from a nightmare they could never have imagined."
Insensate,2021,"Desperate to help Clara overcome a mysterious trauma, her twin sister seeks assistance from a doctor specializing in sensory restriction therapy."
Pray Away,2021,"Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
Aftermath,2021,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house&#39;s troubled history."
Como Hackear Seu Chefe,2021,"After sending an inappropriate email by accident, Victor turns to increasingly desperate measures to try and keep his boss from reading it."
The Vault,2021,A genius engineer and his crew of amateur thieves plot a scheme to seize a legendary lost treasure hidden in a fortress beneath the Bank of Spain.
Catacombs,2007,"The City of Lights becomes the City of Frights when American tourist Victoria visits her sister Carolyn and gets lost at a party in the Catacombs, the vast 200-mile labyrinthine network of tunnels that lies beneath Paris."
Myth & Mogul: John DeLorean,2021,"In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit."
Centaurworld,2021,"On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs."
Resort to Love,2021,"Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort — where her ex-fiancé happens to be getting married."
Tattoo Redo,2021,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients&#39; loved ones."
Bartkowiak,2021,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling&#39;s death wasn’t an accident."
The Conductor,2019,"In the late 1920s, Antonia Brico faces daunting obstacles as she pursues her passion to become the first woman to conduct a large symphony orchestra."
Fantastic Fungi,2019,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
A Second Chance:  Rivals!,0,"Crushed when she doesn&#39;t qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team."
The Last Letter From Your Lover,2021,"After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own."
Masters of the Universe: Revelation,2021,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic."
Kingdom: Ashin of the North,2021,"Tragedy, betrayal and a mysterious discovery fuel a woman&#39;s vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
Blood Red Sky,2021,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son."
Ashes in the Snow,2018,"During World War II, a teenage artist finds the courage to hold onto her creative spirit after she and her family are sent to a Siberian labor camp."
Too Hot to Handle: Brazil,2021,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they&#39;ll have to give up sex."
Trollhunters: Rise of the Titans,2021,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds — and reset Earth itself."
Sexy Beasts,2021,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test."
Jungleland,2020,"When a boxer and his manager brother owe a debt, they are forced to travel cross-country with a passenger and enter a vicious bare-knuckle tournament."
Okupas,2020,"In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city."
Naomi Osaka,2021,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.
Johnny Test,2021,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"
Deep,2021,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control — and must find a way out before it’s too late.
A Perfect Fit,2021,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé."
Nous finirons ensemble,2019,"Years after their last get-together, a group of estranged friends at different crossroads in their lives reunites for an emotional birthday celebration."
The Island Inside,2009,"Three siblings in their thirties cope in their own ways with having inherited schizophrenia from their dad, despite their overbearing mother&#39;s denial."
A Classic Horror Story,2021,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
My Unorthodox Life,2021,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series."
Heist,2021,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.
Ridley Jones,2021,Curious kid Ridley and her friends protect the Museum of Natural History’s treasures and keep its magical secret safe: Everything comes alive at night!
Trust,2021,An art gallery owner and her news anchor husband face temptation and jealousy when two strangers enter their seemingly perfect marriage.
The Water Man,2021,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
Last Summer,2021,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle."
How to Become a Tyrant,2021,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history&#39;s despots prove in this sardonic docuseries."
RESIDENT EVIL: Infinite Darkness,2021,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
The War Next-door,2021,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences."
Cat People,2021,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales."
This Little Love Of Mine,2021,A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way.
The 8th Night,2021,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that&#39;s possessing humans and unleashing hell on Earth."
Haseen Dillruba,2021,"Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
Big Timber,2020,A no-nonsense logger and his loyal crew battle brutal elements and finicky machines to chop and transport valuable lumber on Vancouver Island.
Young Royals,2021,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated."
Generation 56k,2021,"A chance encounter leads two 30-somethings to remember 1998, the year their teenage hormones kicked in — and the internet changed their lives forever."
Audible,2021,"Shaken by a friend&#39;s suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game."
Rainbow Rangers,2018,"When Earth&#39;s animals and natural wonders need a rescue, the Rainbow Rangers combine their colorful powers to protect the planet and save the day!"
